dog_DogID,dog_Tattoo,dog_CallName,dog_LitterID,dog_BreederID,dog_DOB,dog_Sex,dog_StatusChangeDate,dog_SubStatusCode,dbc_DogBreedDescription,Dog_EndReasonText,dbcc_ColorDescription,ogr_RelationID,ogr_PersonID,ogr_DateStart,ogr_DateEnd,ogr_DateRefused,Relationship_Description
15520,5L10,Lani,L10,7105,2/13/10,F,10/22/14,98,Labrador Retriever,Dog age-too old for reuse,Black,42954,19697,11/23/11,10/22/14,,Foster for breeding dog
14467,2K308,Kenya,K308,7105,9/9/08,F,12/17/12,98,Labrador Retriever,Dog health problem,Yellow,36437,17379,1/24/09,4/6/10,,Puppy Raiser/primary
14623,5C408,Chicklet,C408,7105,11/20/08,F,10/22/13,98,Labrador Retriever,Dog age-too old for reuse,Black,36462,20184,2/3/09,4/6/10,,Puppy Raiser/primary
14630,9C408,Cletus,C408,7105,11/20/08,M,10/25/11,98,Labrador Retriever,BRD retire genetic reason,Black,36470,20000,2/4/09,5/4/10,,Puppy Raiser/primary
14683,6I408,Iola,I408,7105,12/30/08,F,7/29/14,98,Labrador Retriever,Dog age-too old for reuse,Black,36678,20075,3/5/09,5/4/10,,Puppy Raiser/primary
13000,3Y07,Yuri,Y07,7105,5/25/07,M,5/17/13,98,Labrador Retriever,Dog age-too old for reuse,Yellow,36706,20183,3/9/09,5/17/13,,Foster for breeding dog
14959,6AA09,Alia,AA09,7105,5/4/09,F,5/22/14,98,Labrador Retriever,Dog age-too old for reuse,Black,37676,7561,7/22/09,,,Veterinary sponsor for pups
14663,7G408,Ginger,G408,7105,12/22/08,F,10/28/11,98,Labrador Retriever,BRD retire genetic reason,Yellow,37497,17407,6/30/09,5/4/10,12/1/11,Puppy Raiser/primary
11613,2V305,Brooke,V305,7105,10/16/05,F,9/22/10,98,Labrador Retriever,BRD retire genetic reason,Yellow,37514,20227,6/26/09,9/22/10,,Foster for breeding dog
13857,5B08,Barlow,B08,7105,1/9/08,M,1/16/14,98,Labrador Retriever,Dog age-too old for reuse,Yellow,38391,14278,11/19/09,12/3/10,,Foster for breeding dog
